,xcoord,ycoord
166,-617.053917726632,-804.3433976070389
167,-903.282719639805,-1024.6728634450715
168,-793.3597972206933,-633.5459902535564
169,1129.6908633739604,785.5838664869848
170,-691.3817635915627,-1349.2346612166393
171,-54.192512649103186,-393.70668976938555
172,-57.41258582057291,315.277392711778
173,362.64157647074836,447.29500363234285
174,286.31245726573405,890.3974119389236
175,390.91475281486294,371.1878114184421
176,1413.4688855181882,-10.310287937534191
177,-183.45407297777123,133.68357942778317
178,-485.4232771246906,699.6570954570076
179,14.025318685547164,648.4344395057174
180,1088.843566609511,-995.2239548257472
181,-1072.614294913662,-612.5941374391075
182,1399.8306274803201,-350.45825239565664
183,1215.8878802418942,-867.5429209242832
184,-887.9667056257242,597.4360741068133
185,290.5110840582644,673.1155396536478
186,373.6851635892563,-553.0839392803435
187,440.21604661490085,549.9102487631151
188,-1185.082152018856,-455.06952663825956
189,-246.8517708018103,181.73835026476013
190,204.3999425844344,276.24383986778633
191,1154.6981574267922,-160.64899193039687
192,-1049.78800790152,612.2685362806998
193,-579.9656743610815,-1092.8751640392536
194,-828.8696018038364,393.42851167480535
195,-1108.98312620516,-788.8396386234691
196,-383.1734205792342,1035.9127218850263
197,-483.8606911552643,-5.306032118184357
198,-570.5827159079091,-1234.253004904086
199,-1377.0920513455158,-530.5469937748431
200,-121.71195991296429,-344.0831586516393
201,185.72665230454325,925.5288384122773
202,-397.13655562734715,-983.4282861603938
203,-473.2481869164902,330.2686558212605
204,-790.4748772155233,-1169.614872120648
205,363.1699944476663,-719.7069284628918
206,-1251.908935826218,470.271667302344
207,-837.007290496037,-919.9032615432238
208,1123.5812060309788,-289.6860526317529
209,-612.4239694643393,226.07088369669603
210,-540.6547085074191,-457.6585351395275
211,293.9419600290278,148.13168799503524
212,261.6156121544789,695.9040673310003
213,-537.5380297865927,710.0533348667902
214,-452.06047093722424,1315.4803817368893
215,419.8707439609291,-822.9691675362029
216,989.2568097476028,-875.7993093034623
217,758.7241935285317,-662.6030020029041
218,1270.009719126581,411.8285446590998
